"","EH_ID","primary_infection","challenge_infection","mouse_strain","experiment","infection_history","Locality","Genome","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","contamination","InfectionHistoryTotal"
"43","LM0190"," E88 ",NA," PWD_PWD ","E5",NA," Prague "," mus "," SY ",5343,42," PWD "," SY ",5340,42,"2018-03-07",3,9,"5","4"," EX ",665," F ","43"," 1F ","3.98",4.41," L2 ",NA,NA," PWD "," PWD "," parental strains ",17.7142857142857,1,NA,NA,NA
"44","LM0187"," E88 ",NA," PWD_PWD ","E5",NA," Prague "," mus "," SY ",5343,42," PWD "," SY ",5340,42,"2018-03-07",3,9,"5","4"," EX ",666," F ","43"," 1F ","4.2",4.97," L3 ",NA,NA," PWD "," PWD "," parental strains ",17.7142857142857,1,NA,NA,NA
"45","LM0189"," E88 ",NA," PWD_PWD ","E5",NA," Prague "," mus "," SY ",5343,42," PWD "," SY ",5340,42,"2018-04-01",4,4,"2","2"," EX ",758," F ","43"," 1F ","5.22",7.18," L4 ",NA,NA," PWD "," PWD "," parental strains ",14.1428571428571,1,NA,NA,NA
"46","LM0179"," E88 ",NA," PWD_BUSNA ","E5",NA," PWD x BUSNA "," mus x mus "," SY ",2996,46," BUSNA "," SY ",6113,60,"2018-03-23",6,9,"4","5"," EX ",727," F "," F1 "," 1F ","4.73",8.44," P3 ",NA,NA," PWD "," BUSNA "," outbred hybrids ",15.4285714285714,1,NA,NA,NA
"47","LM0183"," E88 ",NA," PWD_BUSNA ","E5",NA," PWD x BUSNA "," mus x mus "," SY ",2996,46," BUSNA "," SY ",6113,60,"2018-03-23",6,9,"4","5"," EX ",728," F "," F1 "," 1F ","4.31",7.59," L2 ",NA,NA," PWD "," BUSNA "," outbred hybrids ",15.4285714285714,1,NA,NA,NA
"48","LM0186"," E88 ",NA," PWD_SCHUNT ","E5",NA," PWD x SCHUNT "," mus x dom "," SY ",5681,42," SCHUNT "," SY ",8172,37,"2018-05-07",5,8,"4","4"," EX ",977," M "," F1 "," 1M ","5.64",9.76," L3 ",NA,NA," PWD "," SCHUNT "," inter subsp. hybrids ",9,1,NA,NA,NA
"49","LM0182"," E88 ",NA," SCHUNT_PWD ","E5",NA," SCHUNT x PWD "," dom x mus "," SY ",6904,37," PWD "," SY ",5342,42,"2018-03-23",1,7,"5","2"," EX ",720," M "," F1 "," 1M ","5.75",10.17," P2 ",NA,NA," SCHUNT "," PWD "," inter subsp. hybrids ",15.4285714285714,1,NA,NA,NA
"50","LM0195"," E88 ",NA," SCHUNT_PWD ","E5",NA," SCHUNT x PWD "," dom x mus "," SY ",6904,37," PWD "," SY ",5342,42,"2018-03-23",1,7,"5","2"," EX ",722," M "," F1 "," 1M ","5.39",10.01," P4 ",NA,NA," SCHUNT "," PWD "," inter subsp. hybrids ",15.4285714285714,1,NA,NA,NA
"51","LM0188"," E88 ",NA," SCHUNT_STRA ","E5",NA," SCHUNT x STRA "," dom "," SY ",3472,36," STRA "," SY ",7281,56,"2018-04-10",4,7,"5","2"," EX ",812," M "," F1 "," 1M ","5.89",10.69," L2 ",NA,NA," SCHUNT "," STRA "," outbred hybrids ",12.8571428571429,1,NA,NA,NA
"52","LM0198"," E88 ",NA," SCHUNT_SCHUNT ","E5",NA," Schweben 2 "," dom "," SY ",5726,36," SCHUNT "," SY ",5725,36,"2018-04-13",5,5,"2","3"," EX ",824," F ","37"," 1F ","6.84",10.87," L5 ",NA,NA," SCHUNT "," SCHUNT "," parental strains ",12.4285714285714,1,NA,NA,NA
