"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"634","LM0333","P3bBTL","P3",45.7,50,91.4,NA,8,"challenge"
"635","LM0339","P3bBUX","P3",44.7,48.5,95.2577319587629,1.11,5,"challenge"
"636","LM0336","P3bBWS","P3",43.8,52.3,83.7476099426386,0.88,7,"challenge"
"637","LM0346","P3bBZL","P3",52.3,53.2,96.6165413533835,NA,4,"challenge"
"638","LM0332","P3bCRA","P3",49.8,51.3,97.0760233918129,2.9,7,"challenge"
"639","LM0343","P3bCTS","P3",55.1,56.5,95.929203539823,NA,4,"challenge"
"640","LM0333","P3bDGY","P3",47.4,50,97,1.69,5,"challenge"
"641","LM0344","P3bECK","P3",NA,48.6,NA,NA,7,"challenge"
"642","LM0346","P3bEFI","P3",52.1,53.2,98.3082706766917,1.04,5,"challenge"
"643","LM0345","P3bERF","P3",58.2,59.2,98.3108108108108,NA,1,"challenge"
