,EH_ID,CASP1,CXCL9,CXCR3,GAPDH,IDO1,IFNG,IL10,IL12A,IL13,IL1RN,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PPIB,PRF1,RETNLB,SOCS1,TICAM1,TNF,IL6,IL17A
282,AA0775,20.5384564982134,24.6981896520788,18.9336891817885,3.62958420136961,13.9192280826294,NA,27.7107141955915,22.0583697238121,NA,11.3565372250215,9.06466530616217,15.6908522992684,7.78992904854414,7.96972751770998,8.74517762700447,26.8966283584993,14.724063931994,26.0825846109732,9.4602298903966,10.1243346080245,26.1156165623862,21.6422718935629,26.5093196396936,24.8939437925464
283,AA0776,20.8880374343724,20.4809809047115,21.3041611090224,5.69561155694809,11.9795577361913,15.0996510259605,NA,18.6211571293393,11.0150727619023,11.9399718189826,11.2033616012279,18.3109252072979,10.9603207021079,10.2830931634057,28.0476655915258,22.4770770787365,27.6720781142398,NA,10.8818726571583,11.6644729567549,NA,19.3534276871507,23.3623833252734,16.6485909716815
284,AA0777,21.9785850664704,23.6770583738626,21.3906793296357,3.19905051859477,19.6921621145424,24.8237514156533,23.863021463342,27.9441637536232,25.3670937681475,17.031645433173,8.13171182793578,16.4190271134961,6.83034507375856,7.15789944744827,7.92375113005139,23.789417298974,14.724063931994,28.9493765393165,8.11444958331859,8.81636153038158,26.2006241599212,21.2688123392413,27.8860431038247,23.7789224423401
285,AA0778,21.4582364482153,22.7783232263915,19.4969044147475,4.10231882547095,16.303748079223,24.2795776692508,22.7108570485326,24.5785320235843,18.5952433459124,14.1424692517826,9.87799887479954,16.6986505757498,8.08868648253728,8.17366102323771,9.06221208312185,NA,17.8000421989155,26.6009392867847,8.41154087273815,10.5594733676479,19.6664037141189,20.6151135982178,NA,23.9697268663397
286,AA0779,20.9648794667875,25.1422577106732,NA,3.54704774289181,10.4369742654302,18.9188560168384,24.2001433398404,18.2701225250746,23.4678187947124,8.21805378937115,8.15189792480675,13.413452582536,7.06575716816568,6.82187833898866,7.13277874185406,NA,14.724063931994,25.1618469903732,7.15966536500553,9.52283948879922,25.7244681783685,19.8586987619736,24.1095224082025,23.3167560783228
287,AA0780,20.8406844071674,20.304773367822,NA,2.85586913104068,16.6540177554011,26.0898762555344,22.8166989238733,20.1394465722906,20.5317239373613,12.8696450348999,7.32854922499327,19.8902330845454,5.60122554584555,6.64498090897669,9.13181256379951,NA,14.724063931994,26.7646170930736,10.255392814782,8.24368341333204,21.4585681770821,21.6647769293175,27.7330727121536,23.1061731237906
288,AA0781,21.0838318182433,23.0944504838914,NA,3.60727848371101,9.40934844807454,17.1680439555402,24.8642295021219,15.1674634238668,21.6364721069687,8.39292649088973,8.13903423271631,13.4203585665239,7.21707021206478,7.34540247694109,7.19958652307057,NA,14.724063931994,23.7873760027394,8.43396333908383,9.10973211592001,21.5195345972286,21.2647250371255,23.087784951178,26.3738816346273
289,AA0782,20.9827879576522,17.8733583739766,NA,3.30528841513032,12.1393263466204,23.7685060698649,23.0661355319823,19.1156832602572,17.4521680766615,9.83462158180805,7.94133209194487,13.2487879641142,6.24518029253253,6.29173150913459,6.7853003611006,NA,14.724063931994,27.0834358098545,7.71628045005031,8.7906336234072,18.2384584905941,19.6702751293228,20.5142332024676,21.0812211918247
290,AA0783,21.099143111617,23.5860378101204,29.0155397490969,2.82940695122989,21.8039726258713,23.9757494383058,24.5458624953933,22.2566613450942,21.3775717402992,20.2171627222823,7.900058337575,22.9461672227782,7.06265391496068,8.45056849898507,12.5858364310302,NA,16.724063931994,29.1978578099609,9.85979212315532,8.93506663919631,22.2517869912626,22.4474595404386,24.5110337876083,25.1940080323551
291,AA0784,20.7712658051926,20.2654307576209,20.7936143003494,3.99712964059129,13.2020731992206,16.9788235784334,NA,18.6937250979655,9.02291236568391,11.64350258382,9.68376036240134,14.9174459393455,7.5003272877998,7.55093966912615,18.3918374115293,22.9932527854229,14.889793568082,NA,8.78074257722318,10.4828893477916,NA,19.4435288569093,22.146052724017,18.0183713368391
